,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
85,85.0,85.0,85.0,85.0,85.0,new_lupus,new_lupus,count,gbm,2,16,auprc,0.0126553593872401
86,86.0,86.0,86.0,86.0,86.0,new_lupus,new_lupus,count,gbm,2,16,brier,0.3808000155973866
87,87.0,87.0,87.0,87.0,87.0,new_lupus,new_lupus,count,gbm,3,16,auroc,0.6564327485380118
88,88.0,88.0,88.0,88.0,88.0,new_lupus,new_lupus,count,gbm,3,16,auprc,0.0156042156869227
89,89.0,89.0,89.0,89.0,89.0,new_lupus,new_lupus,count,gbm,3,16,brier,0.3436975245029299
90,90.0,90.0,90.0,90.0,90.0,new_lupus,new_lupus,count,gbm,4,16,auroc,0.6552294197031039
91,91.0,91.0,91.0,91.0,91.0,new_lupus,new_lupus,count,gbm,4,16,auprc,0.0285431125690521
92,92.0,92.0,92.0,92.0,92.0,new_lupus,new_lupus,count,gbm,4,16,brier,0.3749835688972002
93,93.0,93.0,93.0,93.0,93.0,new_lupus,new_lupus,count,gbm,0,24,auroc,0.7168466036887089
94,94.0,94.0,94.0,94.0,94.0,new_lupus,new_lupus,count,gbm,0,24,auprc,0.0170776701164218
95,95.0,95.0,95.0,95.0,95.0,new_lupus,new_lupus,count,gbm,0,24,brier,0.459465209800742
96,96.0,96.0,96.0,96.0,96.0,new_lupus,new_lupus,count,gbm,1,24,auroc,0.6329509671614935
97,97.0,97.0,97.0,97.0,97.0,new_lupus,new_lupus,count,gbm,1,24,auprc,0.0663082474140946
98,98.0,98.0,98.0,98.0,98.0,new_lupus,new_lupus,count,gbm,1,24,brier,0.3696832528953764
99,99.0,99.0,99.0,99.0,99.0,new_lupus,new_lupus,count,gbm,2,24,auroc,0.5873594242015294
100,100.0,100.0,100.0,100.0,100.0,new_lupus,new_lupus,count,gbm,2,24,auprc,0.0152360873389755
101,101.0,101.0,101.0,101.0,101.0,new_lupus,new_lupus,count,gbm,2,24,brier,0.3495347177718829
102,102.0,102.0,102.0,102.0,102.0,new_lupus,new_lupus,count,gbm,3,24,auroc,0.5933648223121907
103,103.0,103.0,103.0,103.0,103.0,new_lupus,new_lupus,count,gbm,3,24,auprc,0.0231649047056536
104,104.0,104.0,104.0,104.0,104.0,new_lupus,new_lupus,count,gbm,3,24,brier,0.3701149223036688
105,105.0,105.0,105.0,105.0,105.0,new_lupus,new_lupus,count,gbm,4,24,auroc,0.6377980206927576
106,106.0,106.0,106.0,106.0,106.0,new_lupus,new_lupus,count,gbm,4,24,auprc,0.024690915578484
107,107.0,107.0,107.0,107.0,107.0,new_lupus,new_lupus,count,gbm,4,24,brier,0.3629322093959716
108,108.0,108.0,108.0,108.0,108.0,new_lupus,new_lupus,count,gbm,0,32,auroc,0.5883940620782726
109,109.0,109.0,109.0,109.0,109.0,new_lupus,new_lupus,count,gbm,0,32,auprc,0.0705549282094177
110,110.0,110.0,110.0,110.0,110.0,new_lupus,new_lupus,count,gbm,0,32,brier,0.3430662338062138
111,111.0,111.0,111.0,111.0,111.0,new_lupus,new_lupus,count,gbm,1,32,auroc,0.6420152946468736
112,112.0,112.0,112.0,112.0,112.0,new_lupus,new_lupus,count,gbm,1,32,auprc,0.0316195802121385
113,113.0,113.0,113.0,113.0,113.0,new_lupus,new_lupus,count,gbm,1,32,brier,0.2623297233353888
114,114.0,114.0,114.0,114.0,114.0,new_lupus,new_lupus,count,gbm,2,32,auroc,0.6346828609986505
115,115.0,115.0,115.0,115.0,115.0,new_lupus,new_lupus,count,gbm,2,32,auprc,0.0415139121155577
116,116.0,116.0,116.0,116.0,116.0,new_lupus,new_lupus,count,gbm,2,32,brier,0.2491681469245092
117,117.0,117.0,117.0,117.0,117.0,new_lupus,new_lupus,count,gbm,3,32,auroc,0.525348627980207
118,118.0,118.0,118.0,118.0,118.0,new_lupus,new_lupus,count,gbm,3,32,auprc,0.0185284959120572
119,119.0,119.0,119.0,119.0,119.0,new_lupus,new_lupus,count,gbm,3,32,brier,0.3626092379517974
120,120.0,120.0,120.0,120.0,120.0,new_lupus,new_lupus,count,gbm,4,32,auroc,0.6058029689608637
121,121.0,121.0,121.0,121.0,121.0,new_lupus,new_lupus,count,gbm,4,32,auprc,0.0167960880491923
122,122.0,122.0,122.0,122.0,122.0,new_lupus,new_lupus,count,gbm,4,32,brier,0.2875313060980357
123,123.0,123.0,123.0,123.0,123.0,new_lupus,new_lupus,count,gbm,0,48,auroc,0.5692757534862798
124,124.0,124.0,124.0,124.0,124.0,new_lupus,new_lupus,count,gbm,0,48,auprc,0.0412863459493692
125,125.0,125.0,125.0,125.0,125.0,new_lupus,new_lupus,count,gbm,0,48,brier,0.4028807816793893
126,126.0,126.0,126.0,126.0,126.0,new_lupus,new_lupus,count,gbm,1,48,auroc,0.6816914080071975
127,127.0,127.0,127.0,127.0,127.0,new_lupus,new_lupus,count,gbm,1,48,auprc,0.0782404769836153
128,128.0,128.0,128.0,128.0,128.0,new_lupus,new_lupus,count,gbm,1,48,brier,0.2108278803984499
129,129.0,129.0,129.0,129.0,129.0,new_lupus,new_lupus,count,gbm,2,48,auroc,0.7040485829959515
130,130.0,130.0,130.0,130.0,130.0,new_lupus,new_lupus,count,gbm,2,48,auprc,0.1001852207489083
131,131.0,131.0,131.0,131.0,131.0,new_lupus,new_lupus,count,gbm,2,48,brier,0.2301633309363857
132,132.0,132.0,132.0,132.0,132.0,new_lupus,new_lupus,count,gbm,3,48,auroc,0.5540260908681961
133,133.0,133.0,133.0,133.0,133.0,new_lupus,new_lupus,count,gbm,3,48,auprc,0.0203020256467688
134,134.0,134.0,134.0,134.0,134.0,new_lupus,new_lupus,count,gbm,3,48,brier,0.3040193239099332
135,135.0,135.0,135.0,135.0,135.0,new_lupus,new_lupus,count,gbm,4,48,auroc,0.702361673414305
136,136.0,136.0,136.0,136.0,136.0,new_lupus,new_lupus,count,gbm,4,48,auprc,0.0479196176012217
137,137.0,137.0,137.0,137.0,137.0,new_lupus,new_lupus,count,gbm,4,48,brier,0.2651747603835386
138,138.0,138.0,138.0,138.0,138.0,new_lupus,new_lupus,count,gbm,0,64,auroc,0.6847278452541611
139,139.0,139.0,139.0,139.0,139.0,new_lupus,new_lupus,count,gbm,0,64,auprc,0.0201279516931723
140,140.0,140.0,140.0,140.0,140.0,new_lupus,new_lupus,count,gbm,0,64,brier,0.3288669297738649
141,141.0,141.0,141.0,141.0,141.0,new_lupus,new_lupus,count,gbm,1,64,auroc,0.7367296446243815
142,142.0,142.0,142.0,142.0,142.0,new_lupus,new_lupus,count,gbm,1,64,auprc,0.115669397480137
143,143.0,143.0,143.0,143.0,143.0,new_lupus,new_lupus,count,gbm,1,64,brier,0.1764644750208825
144,144.0,144.0,144.0,144.0,144.0,new_lupus,new_lupus,count,gbm,2,64,auroc,0.7170265407107511
145,145.0,145.0,145.0,145.0,145.0,new_lupus,new_lupus,count,gbm,2,64,auprc,0.0460878103340706
146,146.0,146.0,146.0,146.0,146.0,new_lupus,new_lupus,count,gbm,2,64,brier,0.2477003744230306
147,147.0,147.0,147.0,147.0,147.0,new_lupus,new_lupus,count,gbm,3,64,auroc,0.7190733243364822
148,148.0,148.0,148.0,148.0,148.0,new_lupus,new_lupus,count,gbm,3,64,auprc,0.041773589383525
149,149.0,149.0,149.0,149.0,149.0,new_lupus,new_lupus,count,gbm,3,64,brier,0.248793339281134
150,150.0,150.0,150.0,150.0,150.0,new_lupus,new_lupus,count,gbm,4,64,auroc,0.7558704453441296
151,151.0,151.0,151.0,151.0,151.0,new_lupus,new_lupus,count,gbm,4,64,auprc,0.0835072928441526
152,152.0,152.0,152.0,152.0,152.0,new_lupus,new_lupus,count,gbm,4,64,brier,0.2016345253489996
153,153.0,153.0,153.0,153.0,153.0,new_lupus,new_lupus,count,gbm,0,128,auroc,0.7436122357174988
154,154.0,154.0,154.0,154.0,154.0,new_lupus,new_lupus,count,gbm,0,128,auprc,0.1034878331625947
155,155.0,155.0,155.0,155.0,155.0,new_lupus,new_lupus,count,gbm,0,128,brier,0.1408885053739236
156,156.0,156.0,156.0,156.0,156.0,new_lupus,new_lupus,count,gbm,1,128,auroc,0.7363022941970311
157,157.0,157.0,157.0,157.0,157.0,new_lupus,new_lupus,count,gbm,1,128,auprc,0.0809626917613046
158,158.0,158.0,158.0,158.0,158.0,new_lupus,new_lupus,count,gbm,1,128,brier,0.16941441191644
159,159.0,159.0,159.0,159.0,159.0,new_lupus,new_lupus,count,gbm,2,128,auroc,0.7906657669815564
160,160.0,160.0,160.0,160.0,160.0,new_lupus,new_lupus,count,gbm,2,128,auprc,0.0651024461749135
161,161.0,161.0,161.0,161.0,161.0,new_lupus,new_lupus,count,gbm,2,128,brier,0.2741567824597906
162,162.0,162.0,162.0,162.0,162.0,new_lupus,new_lupus,count,gbm,3,128,auroc,0.7607287449392713
163,163.0,163.0,163.0,163.0,163.0,new_lupus,new_lupus,count,gbm,3,128,auprc,0.0976843872760128
164,164.0,164.0,164.0,164.0,164.0,new_lupus,new_lupus,count,gbm,3,128,brier,0.1302170345404691
165,165.0,165.0,165.0,165.0,165.0,new_lupus,new_lupus,count,gbm,4,128,auroc,0.7413517768780926
166,166.0,166.0,166.0,166.0,166.0,new_lupus,new_lupus,count,gbm,4,128,auprc,0.048029173148763
167,167.0,167.0,167.0,167.0,167.0,new_lupus,new_lupus,count,gbm,4,128,brier,0.1524332813727744
168,168.0,168.0,168.0,168.0,168.0,new_lupus,new_lupus,count,lr_lbfgs,0,-1,auroc,0.7933873144399459
169,169.0,169.0,169.0,169.0,169.0,new_lupus,new_lupus,count,lr_lbfgs,0,-1,auprc,0.0926073505956257
170,170.0,170.0,170.0,170.0,170.0,new_lupus,new_lupus,count,lr_lbfgs,0,-1,brier,0.0097936588529013
171,171.0,171.0,171.0,171.0,171.0,new_lupus,new_lupus,count,lr_lbfgs,0,1,auroc,0.5809716599190283
172,172.0,172.0,172.0,172.0,172.0,new_lupus,new_lupus,count,lr_lbfgs,0,1,auprc,0.010924746396717
173,173.0,173.0,173.0,173.0,173.0,new_lupus,new_lupus,count,lr_lbfgs,0,1,brier,0.2499472518844476
174,174.0,174.0,174.0,174.0,174.0,new_lupus,new_lupus,count,lr_lbfgs,1,1,auroc,0.4287449392712551
175,175.0,175.0,175.0,175.0,175.0,new_lupus,new_lupus,count,lr_lbfgs,1,1,auprc,0.0075733712364104
176,176.0,176.0,176.0,176.0,176.0,new_lupus,new_lupus,count,lr_lbfgs,1,1,brier,0.2500779658279628
177,177.0,177.0,177.0,177.0,177.0,new_lupus,new_lupus,count,lr_lbfgs,2,1,auroc,0.4346828609986504
178,178.0,178.0,178.0,178.0,178.0,new_lupus,new_lupus,count,lr_lbfgs,2,1,auprc,0.0076781610755427
179,179.0,179.0,179.0,179.0,179.0,new_lupus,new_lupus,count,lr_lbfgs,2,1,brier,0.250089512227088
180,180.0,180.0,180.0,180.0,180.0,new_lupus,new_lupus,count,lr_lbfgs,3,1,auroc,0.6125506072874494
181,181.0,181.0,181.0,181.0,181.0,new_lupus,new_lupus,count,lr_lbfgs,3,1,auprc,0.0132045268327111
182,182.0,182.0,182.0,182.0,182.0,new_lupus,new_lupus,count,lr_lbfgs,3,1,brier,0.2499530689008645
183,183.0,183.0,183.0,183.0,183.0,new_lupus,new_lupus,count,lr_lbfgs,4,1,auroc,0.6157669815564553
184,184.0,184.0,184.0,184.0,184.0,new_lupus,new_lupus,count,lr_lbfgs,4,1,auprc,0.0132390242867392
185,185.0,185.0,185.0,185.0,185.0,new_lupus,new_lupus,count,lr_lbfgs,4,1,brier,0.2499205571868742
186,186.0,186.0,186.0,186.0,186.0,new_lupus,new_lupus,count,lr_lbfgs,0,2,auroc,0.5250787224471435
187,187.0,187.0,187.0,187.0,187.0,new_lupus,new_lupus,count,lr_lbfgs,0,2,auprc,0.01348289414942
188,188.0,188.0,188.0,188.0,188.0,new_lupus,new_lupus,count,lr_lbfgs,0,2,brier,0.2352109098467617
189,189.0,189.0,189.0,189.0,189.0,new_lupus,new_lupus,count,lr_lbfgs,1,2,auroc,0.5219298245614035
190,190.0,190.0,190.0,190.0,190.0,new_lupus,new_lupus,count,lr_lbfgs,1,2,auprc,0.0091808774486287
191,191.0,191.0,191.0,191.0,191.0,new_lupus,new_lupus,count,lr_lbfgs,1,2,brier,0.3064195863462178
192,192.0,192.0,192.0,192.0,192.0,new_lupus,new_lupus,count,lr_lbfgs,2,2,auroc,0.5372694556905083
193,193.0,193.0,193.0,193.0,193.0,new_lupus,new_lupus,count,lr_lbfgs,2,2,auprc,0.0107056336649522
194,194.0,194.0,194.0,194.0,194.0,new_lupus,new_lupus,count,lr_lbfgs,2,2,brier,0.2500125222170881
195,195.0,195.0,195.0,195.0,195.0,new_lupus,new_lupus,count,lr_lbfgs,3,2,auroc,0.5805668016194332
196,196.0,196.0,196.0,196.0,196.0,new_lupus,new_lupus,count,lr_lbfgs,3,2,auprc,0.011910082990097
197,197.0,197.0,197.0,197.0,197.0,new_lupus,new_lupus,count,lr_lbfgs,3,2,brier,0.2499156506126126
198,198.0,198.0,198.0,198.0,198.0,new_lupus,new_lupus,count,lr_lbfgs,4,2,auroc,0.613630229419703
199,199.0,199.0,199.0,199.0,199.0,new_lupus,new_lupus,count,lr_lbfgs,4,2,auprc,0.0135209155120364
200,200.0,200.0,200.0,200.0,200.0,new_lupus,new_lupus,count,lr_lbfgs,4,2,brier,0.2499177983666543
201,201.0,201.0,201.0,201.0,201.0,new_lupus,new_lupus,count,lr_lbfgs,0,4,auroc,0.5288349077822763
202,202.0,202.0,202.0,202.0,202.0,new_lupus,new_lupus,count,lr_lbfgs,0,4,auprc,0.0096863861309354
203,203.0,203.0,203.0,203.0,203.0,new_lupus,new_lupus,count,lr_lbfgs,0,4,brier,0.5081991281443797
204,204.0,204.0,204.0,204.0,204.0,new_lupus,new_lupus,count,lr_lbfgs,1,4,auroc,0.5936572199730095
205,205.0,205.0,205.0,205.0,205.0,new_lupus,new_lupus,count,lr_lbfgs,1,4,auprc,0.0122194782425865
206,206.0,206.0,206.0,206.0,206.0,new_lupus,new_lupus,count,lr_lbfgs,1,4,brier,0.2516556786378606
207,207.0,207.0,207.0,207.0,207.0,new_lupus,new_lupus,count,lr_lbfgs,2,4,auroc,0.4850877192982455
208,208.0,208.0,208.0,208.0,208.0,new_lupus,new_lupus,count,lr_lbfgs,2,4,auprc,0.0084426049743455
209,209.0,209.0,209.0,209.0,209.0,new_lupus,new_lupus,count,lr_lbfgs,2,4,brier,0.2500273552961148
210,210.0,210.0,210.0,210.0,210.0,new_lupus,new_lupus,count,lr_lbfgs,3,4,auroc,0.5885964912280702
211,211.0,211.0,211.0,211.0,211.0,new_lupus,new_lupus,count,lr_lbfgs,3,4,auprc,0.0117688380103049
212,212.0,212.0,212.0,212.0,212.0,new_lupus,new_lupus,count,lr_lbfgs,3,4,brier,0.2915885079186536
213,213.0,213.0,213.0,213.0,213.0,new_lupus,new_lupus,count,lr_lbfgs,4,4,auroc,0.5670040485829959
214,214.0,214.0,214.0,214.0,214.0,new_lupus,new_lupus,count,lr_lbfgs,4,4,auprc,0.0103666742772935
215,215.0,215.0,215.0,215.0,215.0,new_lupus,new_lupus,count,lr_lbfgs,4,4,brier,0.4062297481485749
216,216.0,216.0,216.0,216.0,216.0,new_lupus,new_lupus,count,lr_lbfgs,0,8,auroc,0.6056005398110662
217,217.0,217.0,217.0,217.0,217.0,new_lupus,new_lupus,count,lr_lbfgs,0,8,auprc,0.0135129265162633
218,218.0,218.0,218.0,218.0,218.0,new_lupus,new_lupus,count,lr_lbfgs,0,8,brier,0.3965035839195964
219,219.0,219.0,219.0,219.0,219.0,new_lupus,new_lupus,count,lr_lbfgs,1,8,auroc,0.7127980206927574
220,220.0,220.0,220.0,220.0,220.0,new_lupus,new_lupus,count,lr_lbfgs,1,8,auprc,0.016081757387678
221,221.0,221.0,221.0,221.0,221.0,new_lupus,new_lupus,count,lr_lbfgs,1,8,brier,0.2646926552233674
222,222.0,222.0,222.0,222.0,222.0,new_lupus,new_lupus,count,lr_lbfgs,2,8,auroc,0.5612010796221323
223,223.0,223.0,223.0,223.0,223.0,new_lupus,new_lupus,count,lr_lbfgs,2,8,auprc,0.0100461090370029
224,224.0,224.0,224.0,224.0,224.0,new_lupus,new_lupus,count,lr_lbfgs,2,8,brier,0.2083030335491794
225,225.0,225.0,225.0,225.0,225.0,new_lupus,new_lupus,count,lr_lbfgs,3,8,auroc,0.5238641475483581
226,226.0,226.0,226.0,226.0,226.0,new_lupus,new_lupus,count,lr_lbfgs,3,8,auprc,0.0100968136762275
227,227.0,227.0,227.0,227.0,227.0,new_lupus,new_lupus,count,lr_lbfgs,3,8,brier,0.4005597108133595
228,228.0,228.0,228.0,228.0,228.0,new_lupus,new_lupus,count,lr_lbfgs,4,8,auroc,0.6222896986054881
229,229.0,229.0,229.0,229.0,229.0,new_lupus,new_lupus,count,lr_lbfgs,4,8,auprc,0.0119760100124154
230,230.0,230.0,230.0,230.0,230.0,new_lupus,new_lupus,count,lr_lbfgs,4,8,brier,0.5171891541697946
231,231.0,231.0,231.0,231.0,231.0,new_lupus,new_lupus,count,lr_lbfgs,0,12,auroc,0.6342105263157894
232,232.0,232.0,232.0,232.0,232.0,new_lupus,new_lupus,count,lr_lbfgs,0,12,auprc,0.013836031020752
233,233.0,233.0,233.0,233.0,233.0,new_lupus,new_lupus,count,lr_lbfgs,0,12,brier,0.4490655138187957
234,234.0,234.0,234.0,234.0,234.0,new_lupus,new_lupus,count,lr_lbfgs,1,12,auroc,0.71417004048583
235,235.0,235.0,235.0,235.0,235.0,new_lupus,new_lupus,count,lr_lbfgs,1,12,auprc,0.0162689384507598
236,236.0,236.0,236.0,236.0,236.0,new_lupus,new_lupus,count,lr_lbfgs,1,12,brier,0.2744420530673704
237,237.0,237.0,237.0,237.0,237.0,new_lupus,new_lupus,count,lr_lbfgs,2,12,auroc,0.5644849302744039
