,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
54,54,54.0,54.0,54.0,54.0,54.0,guo_icu,guo_icu,count,gbm,2,8,auroc,0.6033269045323046
55,55,55.0,55.0,55.0,55.0,55.0,guo_icu,guo_icu,count,gbm,2,8,auprc,0.0588062671691293
56,56,56.0,56.0,56.0,56.0,56.0,guo_icu,guo_icu,count,gbm,2,8,brier,0.2926647279987133
57,57,57.0,57.0,57.0,57.0,57.0,guo_icu,guo_icu,count,gbm,3,8,auroc,0.6568677675988428
58,58,58.0,58.0,58.0,58.0,58.0,guo_icu,guo_icu,count,gbm,3,8,auprc,0.0950629594232083
59,59,59.0,59.0,59.0,59.0,59.0,guo_icu,guo_icu,count,gbm,3,8,brier,0.2576090245750911
60,60,60.0,60.0,60.0,60.0,60.0,guo_icu,guo_icu,count,gbm,4,8,auroc,0.5348541465766634
61,61,61.0,61.0,61.0,61.0,61.0,guo_icu,guo_icu,count,gbm,4,8,auprc,0.043868601967842
62,62,62.0,62.0,62.0,62.0,62.0,guo_icu,guo_icu,count,gbm,4,8,brier,0.4051979654737841
63,63,63.0,63.0,63.0,63.0,63.0,guo_icu,guo_icu,count,gbm,0,12,auroc,0.5394256268081004
64,64,64.0,64.0,64.0,64.0,64.0,guo_icu,guo_icu,count,gbm,0,12,auprc,0.0748296773077755
65,65,65.0,65.0,65.0,65.0,65.0,guo_icu,guo_icu,count,gbm,0,12,brier,0.2528292073892711
66,66,66.0,66.0,66.0,66.0,66.0,guo_icu,guo_icu,count,gbm,1,12,auroc,0.581005906460945
67,67,67.0,67.0,67.0,67.0,67.0,guo_icu,guo_icu,count,gbm,1,12,auprc,0.0566439673540328
68,68,68.0,68.0,68.0,68.0,68.0,guo_icu,guo_icu,count,gbm,1,12,brier,0.3864566081704468
69,69,69.0,69.0,69.0,69.0,69.0,guo_icu,guo_icu,count,gbm,2,12,auroc,0.5603182256509162
70,70,70.0,70.0,70.0,70.0,70.0,guo_icu,guo_icu,count,gbm,2,12,auprc,0.0554546394692796
71,71,71.0,71.0,71.0,71.0,71.0,guo_icu,guo_icu,count,gbm,2,12,brier,0.3155591567785918
72,72,72.0,72.0,72.0,72.0,72.0,guo_icu,guo_icu,count,gbm,3,12,auroc,0.6085794358727098
73,73,73.0,73.0,73.0,73.0,73.0,guo_icu,guo_icu,count,gbm,3,12,auprc,0.0925051064465925
74,74,74.0,74.0,74.0,74.0,74.0,guo_icu,guo_icu,count,gbm,3,12,brier,0.3032456398746756
75,75,75.0,75.0,75.0,75.0,75.0,guo_icu,guo_icu,count,gbm,4,12,auroc,0.533883799421408
76,76,76.0,76.0,76.0,76.0,76.0,guo_icu,guo_icu,count,gbm,4,12,auprc,0.0439132891904801
77,77,77.0,77.0,77.0,77.0,77.0,guo_icu,guo_icu,count,gbm,4,12,brier,0.4051979654737841
78,78,78.0,78.0,78.0,78.0,78.0,guo_icu,guo_icu,count,gbm,0,16,auroc,0.4846522420443586
79,79,79.0,79.0,79.0,79.0,79.0,guo_icu,guo_icu,count,gbm,0,16,auprc,0.0530212257018066
80,80,80.0,80.0,80.0,80.0,80.0,guo_icu,guo_icu,count,gbm,0,16,brier,0.2230751895171369
81,81,81.0,81.0,81.0,81.0,81.0,guo_icu,guo_icu,count,gbm,1,16,auroc,0.6121745419479266
82,82,82.0,82.0,82.0,82.0,82.0,guo_icu,guo_icu,count,gbm,1,16,auprc,0.0920458837156435
83,83,83.0,83.0,83.0,83.0,83.0,guo_icu,guo_icu,count,gbm,1,16,brier,0.3911004117147366
84,84,84.0,84.0,84.0,84.0,84.0,guo_icu,guo_icu,count,gbm,2,16,auroc,0.5873071359691417
85,85,85.0,85.0,85.0,85.0,85.0,guo_icu,guo_icu,count,gbm,2,16,auprc,0.0626642006556094
86,86,86.0,86.0,86.0,86.0,86.0,guo_icu,guo_icu,count,gbm,2,16,brier,0.4994883612244619
87,87,87.0,87.0,87.0,87.0,87.0,guo_icu,guo_icu,count,gbm,3,16,auroc,0.6247559064609451
88,88,88.0,88.0,88.0,88.0,88.0,guo_icu,guo_icu,count,gbm,3,16,auprc,0.0786600471166284
89,89,89.0,89.0,89.0,89.0,89.0,guo_icu,guo_icu,count,gbm,3,16,brier,0.3220882741141422
90,90,90.0,90.0,90.0,90.0,90.0,guo_icu,guo_icu,count,gbm,4,16,auroc,0.6169027242044358
91,91,91.0,91.0,91.0,91.0,91.0,guo_icu,guo_icu,count,gbm,4,16,auprc,0.0777035378726417
92,92,92.0,92.0,92.0,92.0,92.0,guo_icu,guo_icu,count,gbm,4,16,brier,0.3872483150335344
93,93,93.0,93.0,93.0,93.0,93.0,guo_icu,guo_icu,count,gbm,0,24,auroc,0.5238247348119576
94,94,94.0,94.0,94.0,94.0,94.0,guo_icu,guo_icu,count,gbm,0,24,auprc,0.0595997252575742
95,95,95.0,95.0,95.0,95.0,95.0,guo_icu,guo_icu,count,gbm,0,24,brier,0.4259677821898462
96,96,96.0,96.0,96.0,96.0,96.0,guo_icu,guo_icu,count,gbm,1,24,auroc,0.6165772661523626
97,97,97.0,97.0,97.0,97.0,97.0,guo_icu,guo_icu,count,gbm,1,24,auprc,0.0781610102729488
98,98,98.0,98.0,98.0,98.0,98.0,guo_icu,guo_icu,count,gbm,1,24,brier,0.2966306315802163
99,99,99.0,99.0,99.0,99.0,99.0,guo_icu,guo_icu,count,gbm,2,24,auroc,0.6593719864995178
100,100,100.0,100.0,100.0,100.0,100.0,guo_icu,guo_icu,count,gbm,2,24,auprc,0.0746910318478026
101,101,101.0,101.0,101.0,101.0,101.0,guo_icu,guo_icu,count,gbm,2,24,brier,0.3857714193328505
102,102,102.0,102.0,102.0,102.0,102.0,guo_icu,guo_icu,count,gbm,3,24,auroc,0.664986137897782
103,103,103.0,103.0,103.0,103.0,103.0,guo_icu,guo_icu,count,gbm,3,24,auprc,0.0882544535780086
104,104,104.0,104.0,104.0,104.0,104.0,guo_icu,guo_icu,count,gbm,3,24,brier,0.3188061293028151
105,105,105.0,105.0,105.0,105.0,105.0,guo_icu,guo_icu,count,gbm,4,24,auroc,0.6673939247830278
106,106,106.0,106.0,106.0,106.0,106.0,guo_icu,guo_icu,count,gbm,4,24,auprc,0.0949814243211136
107,107,107.0,107.0,107.0,107.0,107.0,guo_icu,guo_icu,count,gbm,4,24,brier,0.3503406714992137
108,108,108.0,108.0,108.0,108.0,108.0,guo_icu,guo_icu,count,gbm,0,32,auroc,0.6182075699132112
109,109,109.0,109.0,109.0,109.0,109.0,guo_icu,guo_icu,count,gbm,0,32,auprc,0.0733728788479128
110,110,110.0,110.0,110.0,110.0,110.0,guo_icu,guo_icu,count,gbm,0,32,brier,0.2250504505989042
111,111,111.0,111.0,111.0,111.0,111.0,guo_icu,guo_icu,count,gbm,1,32,auroc,0.6259884281581485
112,112,112.0,112.0,112.0,112.0,112.0,guo_icu,guo_icu,count,gbm,1,32,auprc,0.0954297429344885
113,113,113.0,113.0,113.0,113.0,113.0,guo_icu,guo_icu,count,gbm,1,32,brier,0.4398601578860396
114,114,114.0,114.0,114.0,114.0,114.0,guo_icu,guo_icu,count,gbm,2,32,auroc,0.7346612825458052
115,115,115.0,115.0,115.0,115.0,115.0,guo_icu,guo_icu,count,gbm,2,32,auprc,0.1244892573720287
116,116,116.0,116.0,116.0,116.0,116.0,guo_icu,guo_icu,count,gbm,2,32,brier,0.2771429069104427
117,117,117.0,117.0,117.0,117.0,117.0,guo_icu,guo_icu,count,gbm,3,32,auroc,0.7130454435872708
118,118,118.0,118.0,118.0,118.0,118.0,guo_icu,guo_icu,count,gbm,3,32,auprc,0.1058934188328695
119,119,119.0,119.0,119.0,119.0,119.0,guo_icu,guo_icu,count,gbm,3,32,brier,0.2269011108965573
120,120,120.0,120.0,120.0,120.0,120.0,guo_icu,guo_icu,count,gbm,4,32,auroc,0.6890519527483124
121,121,121.0,121.0,121.0,121.0,121.0,guo_icu,guo_icu,count,gbm,4,32,auprc,0.1444371561455616
122,122,122.0,122.0,122.0,122.0,122.0,guo_icu,guo_icu,count,gbm,4,32,brier,0.2928485712284619
123,123,123.0,123.0,123.0,123.0,123.0,guo_icu,guo_icu,count,gbm,0,48,auroc,0.6857642237222757
124,124,124.0,124.0,124.0,124.0,124.0,guo_icu,guo_icu,count,gbm,0,48,auprc,0.0744412710313633
125,125,125.0,125.0,125.0,125.0,125.0,guo_icu,guo_icu,count,gbm,0,48,brier,0.2775906364984798
126,126,126.0,126.0,126.0,126.0,126.0,guo_icu,guo_icu,count,gbm,1,48,auroc,0.6753194310511089
127,127,127.0,127.0,127.0,127.0,127.0,guo_icu,guo_icu,count,gbm,1,48,auprc,0.0882520394315118
128,128,128.0,128.0,128.0,128.0,128.0,guo_icu,guo_icu,count,gbm,1,48,brier,0.3234723210542702
129,129,129.0,129.0,129.0,129.0,129.0,guo_icu,guo_icu,count,gbm,2,48,auroc,0.7466761089681775
130,130,130.0,130.0,130.0,130.0,130.0,guo_icu,guo_icu,count,gbm,2,48,auprc,0.1682144839059903
131,131,131.0,131.0,131.0,131.0,131.0,guo_icu,guo_icu,count,gbm,2,48,brier,0.2209476315919251
132,132,132.0,132.0,132.0,132.0,132.0,guo_icu,guo_icu,count,gbm,3,48,auroc,0.6853483606557377
133,133,133.0,133.0,133.0,133.0,133.0,guo_icu,guo_icu,count,gbm,3,48,auprc,0.090567382343468
134,134,134.0,134.0,134.0,134.0,134.0,guo_icu,guo_icu,count,gbm,3,48,brier,0.2772801374359062
135,135,135.0,135.0,135.0,135.0,135.0,guo_icu,guo_icu,count,gbm,4,48,auroc,0.7345467695274832
136,136,136.0,136.0,136.0,136.0,136.0,guo_icu,guo_icu,count,gbm,4,48,auprc,0.1436667151076963
137,137,137.0,137.0,137.0,137.0,137.0,guo_icu,guo_icu,count,gbm,4,48,brier,0.2918607997543566
138,138,138.0,138.0,138.0,138.0,138.0,guo_icu,guo_icu,count,gbm,0,64,auroc,0.7375723240115717
139,139,139.0,139.0,139.0,139.0,139.0,guo_icu,guo_icu,count,gbm,0,64,auprc,0.1063842346235954
140,140,140.0,140.0,140.0,140.0,140.0,guo_icu,guo_icu,count,gbm,0,64,brier,0.3075375655682096
141,141,141.0,141.0,141.0,141.0,141.0,guo_icu,guo_icu,count,gbm,1,64,auroc,0.6159896335583414
142,142,142.0,142.0,142.0,142.0,142.0,guo_icu,guo_icu,count,gbm,1,64,auprc,0.0669914411562072
143,143,143.0,143.0,143.0,143.0,143.0,guo_icu,guo_icu,count,gbm,1,64,brier,0.3244310375341119
144,144,144.0,144.0,144.0,144.0,144.0,guo_icu,guo_icu,count,gbm,2,64,auroc,0.7620479749276761
145,145,145.0,145.0,145.0,145.0,145.0,guo_icu,guo_icu,count,gbm,2,64,auprc,0.1684670652336614
146,146,146.0,146.0,146.0,146.0,146.0,guo_icu,guo_icu,count,gbm,2,64,brier,0.239127733566452
147,147,147.0,147.0,147.0,147.0,147.0,guo_icu,guo_icu,count,gbm,3,64,auroc,0.7234209257473481
148,148,148.0,148.0,148.0,148.0,148.0,guo_icu,guo_icu,count,gbm,3,64,auprc,0.1263140557685741
149,149,149.0,149.0,149.0,149.0,149.0,guo_icu,guo_icu,count,gbm,3,64,brier,0.2805715137692068
150,150,150.0,150.0,150.0,150.0,150.0,guo_icu,guo_icu,count,gbm,4,64,auroc,0.7065603905496625
151,151,151.0,151.0,151.0,151.0,151.0,guo_icu,guo_icu,count,gbm,4,64,auprc,0.1762645344853472
152,152,152.0,152.0,152.0,152.0,152.0,guo_icu,guo_icu,count,gbm,4,64,brier,0.2837891115233324
153,153,153.0,153.0,153.0,153.0,153.0,guo_icu,guo_icu,count,gbm,0,128,auroc,0.7983907907425266
154,154,154.0,154.0,154.0,154.0,154.0,guo_icu,guo_icu,count,gbm,0,128,auprc,0.145680541699228
155,155,155.0,155.0,155.0,155.0,155.0,guo_icu,guo_icu,count,gbm,0,128,brier,0.213609522142305
156,156,156.0,156.0,156.0,156.0,156.0,guo_icu,guo_icu,count,gbm,1,128,auroc,0.7625361620057859
157,157,157.0,157.0,157.0,157.0,157.0,guo_icu,guo_icu,count,gbm,1,128,auprc,0.1800965124384752
158,158,158.0,158.0,158.0,158.0,158.0,guo_icu,guo_icu,count,gbm,1,128,brier,0.1932491479339863
159,159,159.0,159.0,159.0,159.0,159.0,guo_icu,guo_icu,count,gbm,2,128,auroc,0.7773686113789778
160,160,160.0,160.0,160.0,160.0,160.0,guo_icu,guo_icu,count,gbm,2,128,auprc,0.1303379613740795
161,161,161.0,161.0,161.0,161.0,161.0,guo_icu,guo_icu,count,gbm,2,128,brier,0.2173157412614225
162,162,162.0,162.0,162.0,162.0,162.0,guo_icu,guo_icu,count,gbm,3,128,auroc,0.7680629218900674
163,163,163.0,163.0,163.0,163.0,163.0,guo_icu,guo_icu,count,gbm,3,128,auprc,0.1652383054467449
164,164,164.0,164.0,164.0,164.0,164.0,guo_icu,guo_icu,count,gbm,3,128,brier,0.2273970306362898
165,165,165.0,165.0,165.0,165.0,165.0,guo_icu,guo_icu,count,gbm,4,128,auroc,0.7649168273866923
166,166,166.0,166.0,166.0,166.0,166.0,guo_icu,guo_icu,count,gbm,4,128,auprc,0.2019587190928328
167,167,167.0,167.0,167.0,167.0,167.0,guo_icu,guo_icu,count,gbm,4,128,brier,0.2058916686764604
168,168,168.0,168.0,168.0,168.0,168.0,guo_icu,guo_icu,count,lr_lbfgs,0,-1,auroc,0.7012174541947926
169,169,169.0,169.0,169.0,169.0,169.0,guo_icu,guo_icu,count,lr_lbfgs,0,-1,auprc,0.093910727542785
170,170,170.0,170.0,170.0,170.0,170.0,guo_icu,guo_icu,count,lr_lbfgs,0,-1,brier,0.0394127407657786
171,171,171.0,171.0,171.0,171.0,171.0,guo_icu,guo_icu,count,lr_lbfgs,0,1,auroc,0.6111318707810993
172,172,172.0,172.0,172.0,172.0,172.0,guo_icu,guo_icu,count,lr_lbfgs,0,1,auprc,0.0710375238658191
173,173,173.0,173.0,173.0,173.0,173.0,guo_icu,guo_icu,count,lr_lbfgs,0,1,brier,0.2499626468684177
174,174,174.0,174.0,174.0,174.0,174.0,guo_icu,guo_icu,count,lr_lbfgs,1,1,auroc,0.4965947444551591
175,175,175.0,175.0,175.0,175.0,175.0,guo_icu,guo_icu,count,lr_lbfgs,1,1,auprc,0.0515713930726227
176,176,176.0,176.0,176.0,176.0,176.0,guo_icu,guo_icu,count,lr_lbfgs,1,1,brier,0.2499694363092294
177,177,177.0,177.0,177.0,177.0,177.0,guo_icu,guo_icu,count,lr_lbfgs,2,1,auroc,0.5719985535197685
178,178,178.0,178.0,178.0,178.0,178.0,guo_icu,guo_icu,count,lr_lbfgs,2,1,auprc,0.0726731189139368
179,179,179.0,179.0,179.0,179.0,179.0,guo_icu,guo_icu,count,lr_lbfgs,2,1,brier,0.2498851883152354
180,180,180.0,180.0,180.0,180.0,180.0,guo_icu,guo_icu,count,lr_lbfgs,3,1,auroc,0.5514886692381871
181,181,181.0,181.0,181.0,181.0,181.0,guo_icu,guo_icu,count,lr_lbfgs,3,1,auprc,0.045996836668873
182,182,182.0,182.0,182.0,182.0,182.0,guo_icu,guo_icu,count,lr_lbfgs,3,1,brier,0.2500673754549334
183,183,183.0,183.0,183.0,183.0,183.0,guo_icu,guo_icu,count,lr_lbfgs,4,1,auroc,0.4847094985535197
184,184,184.0,184.0,184.0,184.0,184.0,guo_icu,guo_icu,count,lr_lbfgs,4,1,auprc,0.0386931847879387
185,185,185.0,185.0,185.0,185.0,185.0,guo_icu,guo_icu,count,lr_lbfgs,4,1,brier,0.2500168715396937
186,186,186.0,186.0,186.0,186.0,186.0,guo_icu,guo_icu,count,lr_lbfgs,0,2,auroc,0.5291164416586307
187,187,187.0,187.0,187.0,187.0,187.0,guo_icu,guo_icu,count,lr_lbfgs,0,2,auprc,0.0471673598707209
188,188,188.0,188.0,188.0,188.0,188.0,guo_icu,guo_icu,count,lr_lbfgs,0,2,brier,0.2500692685311697
189,189,189.0,189.0,189.0,189.0,189.0,guo_icu,guo_icu,count,lr_lbfgs,1,2,auroc,0.603314850530376
190,190,190.0,190.0,190.0,190.0,190.0,guo_icu,guo_icu,count,lr_lbfgs,1,2,auprc,0.0707190284658943
191,191,191.0,191.0,191.0,191.0,191.0,guo_icu,guo_icu,count,lr_lbfgs,1,2,brier,0.2499705323064212
192,192,192.0,192.0,192.0,192.0,192.0,guo_icu,guo_icu,count,lr_lbfgs,2,2,auroc,0.5247107039537127
193,193,193.0,193.0,193.0,193.0,193.0,guo_icu,guo_icu,count,lr_lbfgs,2,2,auprc,0.0428358521222191
194,194,194.0,194.0,194.0,194.0,194.0,guo_icu,guo_icu,count,lr_lbfgs,2,2,brier,0.2500625687956057
195,195,195.0,195.0,195.0,195.0,195.0,guo_icu,guo_icu,count,lr_lbfgs,3,2,auroc,0.6484992767598843
196,196,196.0,196.0,196.0,196.0,196.0,guo_icu,guo_icu,count,lr_lbfgs,3,2,auprc,0.0674059571776216
197,197,197.0,197.0,197.0,197.0,197.0,guo_icu,guo_icu,count,lr_lbfgs,3,2,brier,0.5082429181224106
198,198,198.0,198.0,198.0,198.0,198.0,guo_icu,guo_icu,count,lr_lbfgs,4,2,auroc,0.4717635004821601
199,199,199.0,199.0,199.0,199.0,199.0,guo_icu,guo_icu,count,lr_lbfgs,4,2,auprc,0.0387743102803055
200,200,200.0,200.0,200.0,200.0,200.0,guo_icu,guo_icu,count,lr_lbfgs,4,2,brier,0.2500500823290648
201,201,201.0,201.0,201.0,201.0,201.0,guo_icu,guo_icu,count,lr_lbfgs,0,4,auroc,0.5618490838958534
202,202,202.0,202.0,202.0,202.0,202.0,guo_icu,guo_icu,count,lr_lbfgs,0,4,auprc,0.0484207271192459
203,203,203.0,203.0,203.0,203.0,203.0,guo_icu,guo_icu,count,lr_lbfgs,0,4,brier,0.2500449293599068
204,204,204.0,204.0,204.0,204.0,204.0,guo_icu,guo_icu,count,lr_lbfgs,1,4,auroc,0.5267659112825458
205,205,205.0,205.0,205.0,205.0,205.0,guo_icu,guo_icu,count,lr_lbfgs,1,4,auprc,0.0484149076527474
206,206,206.0,206.0,206.0,206.0,206.0,guo_icu,guo_icu,count,lr_lbfgs,1,4,brier,0.2392617930450891
207,207,207.0,207.0,207.0,207.0,207.0,guo_icu,guo_icu,count,lr_lbfgs,2,4,auroc,0.5788512536162006
208,208,208.0,208.0,208.0,208.0,208.0,guo_icu,guo_icu,count,lr_lbfgs,2,4,auprc,0.0515720064507327
209,209,209.0,209.0,209.0,209.0,209.0,guo_icu,guo_icu,count,lr_lbfgs,2,4,brier,0.2500359910716274
210,210,210.0,210.0,210.0,210.0,210.0,guo_icu,guo_icu,count,lr_lbfgs,3,4,auroc,0.6900132594021214
211,211,211.0,211.0,211.0,211.0,211.0,guo_icu,guo_icu,count,lr_lbfgs,3,4,auprc,0.0797113177344365
212,212,212.0,212.0,212.0,212.0,212.0,guo_icu,guo_icu,count,lr_lbfgs,3,4,brier,0.341172852252279
213,213,213.0,213.0,213.0,213.0,213.0,guo_icu,guo_icu,count,lr_lbfgs,4,4,auroc,0.5272058823529412
214,214,214.0,214.0,214.0,214.0,214.0,guo_icu,guo_icu,count,lr_lbfgs,4,4,auprc,0.0442710668628061
215,215,215.0,215.0,215.0,215.0,215.0,guo_icu,guo_icu,count,lr_lbfgs,4,4,brier,0.2454262465211499
216,216,216.0,216.0,216.0,216.0,216.0,guo_icu,guo_icu,count,lr_lbfgs,0,8,auroc,0.5549120057859209
217,217,217.0,217.0,217.0,217.0,217.0,guo_icu,guo_icu,count,lr_lbfgs,0,8,auprc,0.0484131146141491
218,218,218.0,218.0,218.0,218.0,218.0,guo_icu,guo_icu,count,lr_lbfgs,0,8,brier,0.2036213444710394
219,219,219.0,219.0,219.0,219.0,219.0,guo_icu,guo_icu,count,lr_lbfgs,1,8,auroc,0.6291706846673095
220,220,220.0,220.0,220.0,220.0,220.0,guo_icu,guo_icu,count,lr_lbfgs,1,8,auprc,0.0697077870263065
221,221,221.0,221.0,221.0,221.0,221.0,guo_icu,guo_icu,count,lr_lbfgs,1,8,brier,0.2499984928581052
222,222,222.0,222.0,222.0,222.0,222.0,guo_icu,guo_icu,count,lr_lbfgs,2,8,auroc,0.5552013018322083
223,223,223.0,223.0,223.0,223.0,223.0,guo_icu,guo_icu,count,lr_lbfgs,2,8,auprc,0.0532801247282707
224,224,224.0,224.0,224.0,224.0,224.0,guo_icu,guo_icu,count,lr_lbfgs,2,8,brier,0.2597210525025807
225,225,225.0,225.0,225.0,225.0,225.0,guo_icu,guo_icu,count,lr_lbfgs,3,8,auroc,0.6830520732883317
226,226,226.0,226.0,226.0,226.0,226.0,guo_icu,guo_icu,count,lr_lbfgs,3,8,auprc,0.1113677120694281
227,227,227.0,227.0,227.0,227.0,227.0,guo_icu,guo_icu,count,lr_lbfgs,3,8,brier,0.2304535904291747
228,228,228.0,228.0,228.0,228.0,228.0,guo_icu,guo_icu,count,lr_lbfgs,4,8,auroc,0.5917821841851494
229,229,229.0,229.0,229.0,229.0,229.0,guo_icu,guo_icu,count,lr_lbfgs,4,8,auprc,0.0539293051183803
